statename,stateabbrev,name,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,id,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimates (as of July 1) - 2010,Population Estimates (as of July 1) - 2011,,norm1,norm2,norm3,norm4,norm5,norm6,norm7,norm8,norm9,norm10
Alabama,AL,"Autauga, AL",5064,5192,5394,5589,5774,5971,6098,6619,7018,7327,1001,54571,54571,54637,55267,,0.09279654,0.095142108,0.098843708,0.102417035,0.105807114,0.10941709,0.111744333,0.121291528,0.128603104,0.134265452
Alabama,AL,"Baldwin, AL",21915,22449,23329,24282,25293,26474,26489,28695,30130,31235,1003,182265,182265,183259,186717,,0.120237018,0.123166818,0.127994952,0.133223603,0.138770472,0.145250048,0.145332346,0.157435602,0.165308754,0.171371355
Alabama,AL,"Barbour, AL",4359,4389,4347,4345,4352,4380,4582,4772,4974,5075,1005,27457,27457,27390,27119,,0.15875733,0.159849947,0.158320283,0.158247441,0.158502386,0.159522162,0.16687912,0.173799031,0.181155989,0.184834468
Alabama,AL,"Bibb, AL",3019,3050,3129,3218,3284,3364,3252,3468,3617,3771,1007,22915,22919,22880,22766,,0.131747763,0.133100589,0.136548113,0.140432031,0.143312241,0.146803404,0.141915776,0.151341916,0.157844207,0.164564696
Alabama,AL,"Blount, AL",5548,5605,5730,5882,6068,6319,7481,8074,8662,8966,1009,57322,57322,57387,57677,,0.096786574,0.097780957,0.09996162,0.102613307,0.105858135,0.110236907,0.130508356,0.140853425,0.151111266,0.15641464
Alabama,AL,"Bullock, AL",1947,1945,1973,1975,1956,1937,1673,1723,1735,1756,1011,10914,10915,10893,10542,,0.178394722,0.178211472,0.180776984,0.180960235,0.179219351,0.177478468,0.153289353,0.157870625,0.15897013,0.160894264
Alabama,AL,"Butler, AL",4016,4015,4036,4062,4026,4102,4025,4107,4158,4209,1013,20947,20947,20941,20650,,0.191721965,0.191674225,0.192676756,0.193917983,0.19219936,0.195827565,0.192151621,0.196066262,0.198500979,0.200935695
Alabama,AL,"Calhoun, AL",20017,20378,20699,20956,21256,21741,20214,21295,21842,22432,1015,118572,118572,118426,117797,,0.168817259,0.171861822,0.174569038,0.176736498,0.179266606,0.183356948,0.170478696,0.17959552,0.184208751,0.18918463
Alabama,AL,"Chambers, AL",6871,6877,6913,6922,6932,6970,6362,6758,6982,7102,1017,34215,34215,34143,33939,,0.200818355,0.200993716,0.202045886,0.202308929,0.202601198,0.203711822,0.185941838,0.197515709,0.204062546,0.207569779
Alabama,AL,"Cherokee, AL",3647,3682,3720,3777,3872,3940,4401,4697,4963,5157,1019,25989,25989,25997,26057,,0.140328601,0.141675324,0.143137481,0.145330717,0.14898611,0.151602601,0.169340875,0.180730309,0.190965408,0.198430105
Alabama,AL,"Chilton, AL",5452,5500,5535,5610,5681,5834,5868,6249,6557,6765,1021,43643,43642,43722,43895,,0.124922668,0.126022501,0.126824462,0.128542951,0.130169787,0.133675504,0.134454552,0.143184474,0.150241734,0.155007676
Alabama,AL,"Choctaw, AL",2718,2775,2764,2812,2839,2948,3008,3160,3260,3342,1023,13859,13858,13851,13609,,0.196118046,0.200230897,0.199437189,0.202900642,0.204848835,0.21271376,0.217043077,0.228010679,0.235226207,0.24114294
Alabama,AL,"Clarke, AL",4687,4750,4798,4840,4907,5000,4676,4927,5088,5235,1025,25833,25840,25776,25695,,0.181434599,0.18387334,0.185731429,0.187357256,0.189950838,0.193550885,0.181008787,0.190725042,0.19695738,0.202647776
Alabama,AL,"Clay, AL",2684,2693,2687,2724,2750,2808,2811,2951,2998,3034,1027,13932,13932,13935,13862,,0.192650014,0.193296009,0.192865346,0.195521102,0.19738731,0.201550388,0.201765719,0.211814528,0.215188056,0.217772036
Alabama,AL,"Cleburne, AL",2305,2335,2380,2439,2474,2498,2479,2638,2749,2847,1029,14972,14972,14978,14835,,0.153954048,0.155957788,0.158963398,0.162904088,0.165241785,0.166844777,0.165575741,0.176195565,0.183609404,0.190154956
Alabama,AL,"Coffee, AL",6833,6899,6958,7099,7284,7465,7414,7757,8066,8242,1031,49948,49948,50167,50526,,0.136802274,0.138123649,0.139304877,0.142127813,0.145831665,0.149455434,0.148434372,0.155301514,0.161487947,0.165011612
Alabama,AL,"Colbert, AL",9787,9891,10117,10206,10362,10528,10425,11038,11469,11849,1033,54428,54428,54491,54512,,0.179815536,0.181726317,0.185878592,0.18751378,0.190379951,0.193429852,0.191537444,0.202800029,0.210718748,0.217700448
